numb,name,address,open,lon,lat
69,Amherst,"1200 North Pleasant Street, Amherst, MA 01002",1,-72.5315282,42.4102412
76,Blechertown,"51 State Street, Belchertown , MA 01007",2,-72.4131002,42.2712297
97,Chicopee,"Valley Opportunity Council, 35 Mt. Carmel Ave 2nd Floor, Chicopee, MA 01013",1,-72.6073905,42.1885859
98,Holyoke,"300 High Street, Holyoke, MA 01040",1,-72.6083487,42.2059848
100,Ludlow,"14 Chestnut Place, 1st Floor, Ludlow, MA 01056",1,-72.48113599999999,42.1575564
71,Northampton,"15 Straw Avenue, Northampton, MA 01062",1,-72.66293,42.335042
72,Ware,"Mary Lane Hospital, 89 South St, Ware, MA 01082",1,-72.2424686,42.2537083
101,Westfield,"70 Court St Suite 10A, Lower Level, Westfield, MA 01085",1,-72.765453,42.1119847
56,W. Springfield,"425 Union St, Level D, Springfield, MA 01089",1,-72.5760572,42.1057171
57,Forest Park,"Health Center/CHC, 532-536 Sumner Ave, Springfield, MA 01108",1,-72.5571758,42.0866068
54,Main Street,"1985 Main St, Springfield, MA 01103",1,-72.5973525,42.1072373
60,Springfield South,"816 Main St, Springfield, MA 01103",1,-72.5825632,42.0971986
55,Mason Square,"11 Wilbraham Rd, 2nd Floor, Springfield, MA 01109",1,-72.5632757,42.111011
189,Boston Road,"1771 Boston Road, Springfield, MA 01119",1,-72.4841079,42.1449666
129,Hillcrest Campus,"165 Tor Court, Pittsfield, MA 01201",1,-73.28123529999999,42.4581621
128,North Street,"510 North Street, Pittsfield, MA 01201",1,-73.2510573,42.4555476
102,Great Barrington,"442 Stockbridge Road, Great Barrington, MA 01230",1,-73.3426477,42.2191688
198,Barrington OB/GYN,"780 Main Street, Great Barrington, MA 01230",1,-73.3630064,42.17827279999999
103,Lee,"Congregational Church, Water Street, Lee, MA 01238",3,-73.248387,42.3050706
131,North Adams,"71 Hospital Avenue 3rd Floor, North Adams, MA 01247",1,-73.10911469999999,42.70731259999999
104,Otis,"1 North Main St, Otis, MA 01253",3,-73.1190472,42.2417006
74,Greenfield,"393 Main Street, Greenfield, MA 01301",1,-72.5989767,42.5873857
73,Orange,"167 South Main Street, Orange, MA 01364",1,-72.308797,42.5848527
77,West County,"3 State St, Shelburne Falls, MA 01370",3,-72.7416954,42.6034977
75,Montague,"Franklin Community Health Ctr, 338 Montague City Rd, Turners Falls, MA 01376",3,-72.57453699999999,42.5877188
150,Fitchburg,"375 Nichols Road, Fitchburg, MA 01420",1,-71.8071721,42.5969488
153,Mobile-Fitchburg on Wheels,"326 Nichols Road, Fitchburg, MA 01420",3,-71.8077019,42.5973818
194,Ayer,"63 Park Street, Ayer, MA 01432",1,-71.5910054,42.5644986
